gender,birth,marriage,religion,income,code_job,code_region
1,1939,2,1,,,2
2,1941,2,1,,,2
1,1969,1,2,,,2
2,1970,1,2,305,441,2
2,1998,5,2,,442,2
2,2003,0,2,,,2
2,1938,2,1,27,999,2
1,1939,1,2,,,2
2,1940,1,1,,,2
1,1976,1,2,340,312,2
2,1979,1,1,150,422,2
1,1952,2,1,,823,2
2,1982,1,1,338,252,6
1,1979,1,1,378,252,6
2,2010,0,1,,,6
2,2013,0,1,,,6
1,2016,0,1,,,6
1,1964,1,1,300,153,2
2,1964,1,1,431,259,2
2,1991,5,1,,,2
1,1934,2,1,27,999,2
2,1936,2,1,,,2
1,1939,1,2,,,2
2,1941,1,1,,,2
1,1992,5,1,,,2
1,1995,5,1,,,2
1,1962,2,1,356,881,2
1,1934,1,1,,,2
2,1942,1,1,,,2
1,1961,1,1,330,910,2
2,1956,1,1,,,2
2,1983,5,1,,,2
1,1989,5,2,250,510,2
1,1942,1,2,,,2
2,1947,1,2,,,2
1,1947,1,2,,,2
2,1951,1,2,,,2
1,1942,1,2,,,2
2,1951,1,2,100,951,2
2,1982,5,2,429,320,2
2,1980,1,2,339,320,2
1,1976,1,2,791,312,2
1,2010,0,2,,,2
2,2014,0,2,,,2
1,1974,1,2,333,312,2
2,1982,1,2,,,2
2,2012,0,2,,,2
2,2016,0,2,,,2
2,1935,2,1,,,2
2,1943,2,1,,,2
1,1960,1,2,610,252,2
2,1965,1,1,,,2
1,1994,5,2,,,2
2,1996,5,2,,314,2
1,1952,1,2,,,5
2,1956,1,1,,611,5
1,1966,1,1,500,251,2
2,1967,1,1,,,2
1,2000,5,2,,,2
1,1953,1,1,173,942,2
2,1958,1,1,175,441,2
2,1981,1,2,,,2
1,1979,1,2,625,313,2
2,2011,0,2,,,2
2,2014,0,2,,,2
1,1983,1,2,379,411,6
1,1963,1,1,723,149,2
2,1965,1,1,,,2
1,1994,5,1,40,254,2
2,1989,5,2,,,1
1,1962,1,1,,510,1
2,1968,1,1,,,1
1,1990,5,1,250,135,1
1,1994,5,1,,,1
2,1939,2,1,27,999,2
1,1946,1,1,,,2
2,1948,1,1,,,2
1,1943,1,1,27,999,2
2,1946,1,1,,,2
1,1974,1,1,452,510,2
2,1971,1,1,185,951,2
1,2000,5,1,,,2
1,1973,1,1,,441,2
2,1978,1,1,25,930,2
1,2004,0,1,,,2
1,2006,0,1,,,2
1,1969,1,2,408,873,2
2,1976,1,2,,,2
2,2010,0,2,,,2
2,2012,0,2,,,2
2,2016,0,2,,,2
2,1927,2,1,,,2
2,1954,3,1,,441,2
1,1941,1,2,,,2
2,1946,1,2,,,2
1,1963,1,2,378,873,2
2,1967,1,2,228,930,2
2,1990,1,1,,,2
1,1979,1,2,,149,2
2,2016,0,2,,,2
1,1965,1,1,217,510,5
2,1986,1,1,90,930,5
1,2013,0,1,,,5
1,1942,1,1,,,2
2,1950,1,1,88,941,2
1,1940,1,1,,,2
2,1943,1,1,27,999,2
1,1958,1,1,208,421,2
2,1962,1,1,194,246,2
1,1991,5,1,258,235,2
2,1987,1,2,285,253,2
1,1985,1,2,184,312,2
1,1957,1,1,159,236,7
2,1957,1,1,,,7
1,1951,3,1,,,7
2,1996,1,2,,,2
1,1989,1,2,248,930,2
2,1968,3,1,209,432,2
1,1963,3,2,,,3
2,1939,2,1,,,2
1,1970,1,1,361,781,2
2,1969,1,1,200,441,2
1,1995,5,1,348,743,2
2,1998,5,1,,,2
2,1971,1,2,184,930,2
1,1995,5,2,,,2
1,1967,1,2,323,892,2
1,2000,5,2,,,2
2,1992,1,2,,,2
1,1985,1,2,325,842,2
2,2016,0,2,,,2
1,1941,1,1,,,2
2,1940,1,1,,,2
2,1944,2,1,,,2
1,1970,1,2,292,431,2
2,1972,1,2,414,313,2
1,1975,1,2,,611,5
2,1981,1,1,,,5
2,2011,0,2,,,5
2,2012,0,2,,,5
1,1966,1,2,,781,2
2,1969,1,2,206,953,2
2,1995,5,2,157,999,2
1,1999,5,2,,,2
2,1943,3,1,27,999,2
1,1930,2,1,,,2
1,1931,1,2,,,2
2,1937,1,2,,,2
2,1964,3,2,200,521,2
1,1945,1,1,,,2
2,1939,1,1,,,2
1,1943,1,2,,,2
2,1948,1,1,75,952,2
2,1960,2,2,,,2
1,1986,5,2,260,910,2
1,1947,1,1,160,873,2
2,1951,1,1,80,442,2
1,1957,1,2,330,730,2
2,1943,1,1,,,2
2,1943,2,1,,,7
1,1960,5,2,,,2
1,1940,1,2,,,2
2,1940,1,2,,,2
1,1964,1,1,300,922,2
2,1968,1,2,90,999,2
2,1999,5,2,40,521,2
1,1956,1,1,212,942,2
2,1960,1,1,,,2
2,1987,5,1,,,2
2,1994,5,1,,,2
2,1949,2,1,70,951,2
2,1959,1,1,,441,5
1,1954,1,1,,611,5
1,1951,1,2,,,2
2,1948,1,1,180,941,2
1,1941,2,2,,,2
2,1937,2,1,,,2
2,1992,5,2,193,286,2
2,1955,2,2,210,930,2
1,1943,1,1,,,2
2,1948,1,1,,,2
2,1929,2,1,,,2
1,1956,3,1,315,873,2
2,1938,2,2,,,2
1,1964,3,2,,783,2
1,1968,1,2,353,842,2
2,1977,1,1,230,930,2
1,2001,0,1,,,2
1,2002,0,1,,,2
1,1941,2,2,,,2
1,1991,5,2,,,2
2,1965,3,2,184,953,2
1,1977,1,1,,761,2
2,1976,1,1,60,941,2
2,2002,0,1,,,2
2,2005,0,1,,,2
1,2007,0,1,,,2
1,1964,1,1,500,751,2
2,1968,1,1,,,2
1,1995,5,1,,,2
1,1943,1,1,,,2
2,1946,1,1,,,2
2,1951,3,1,,,2
2,1946,2,2,,,2
1,1975,1,2,574,312,2
2,1975,1,2,230,252,2
1,2008,0,2,,,2
2,2010,0,2,,,2
1,1971,1,2,851,312,2
2,1974,1,1,,,2
1,2014,0,2,,,2
2,2016,0,2,,,2
1,1936,1,1,27,999,2
2,1936,1,1,27,999,2
1,1949,2,2,,,2
2,1952,6,2,,,2
1,1977,1,2,,873,2
2,1981,1,2,333,259,2
2,2011,0,2,,,2
2,2014,0,2,,,2
1,1939,1,1,,,2
2,1943,1,1,27,999,2
2,1974,5,2,,,2
1,1949,1,1,,,2
2,1950,1,1,27,999,2
1,1976,5,1,,,2
1,1939,1,1,,,2
2,1943,1,1,,,2
1,1960,1,1,200,854,2
2,1963,1,1,,,2
2,1991,5,1,258,246,2
1,1993,5,1,,,2
2,1989,1,1,,,2
1,1989,1,1,276,311,2
2,1937,2,1,,,2
2,1958,1,1,100,922,2
1,1956,1,1,100,922,2
1,1985,5,1,400,922,2
1,1971,1,2,916,312,2
2,1977,1,2,,,2
2,2002,0,2,,,2
2,2009,0,2,,,2
1,1940,1,1,,,3
2,1945,1,1,,,3
1,2009,0,1,,,3
1,1961,1,1,,753,2
2,1968,1,1,300,399,2
1,1993,5,1,,,2
2,1996,5,1,85,442,2
1,1960,1,1,,121,2
2,1965,1,1,,259,2
1,1991,5,1,236,314,2
2,1994,5,1,110,259,2
1,1967,1,2,,521,2
2,1968,1,2,,521,2
2,1998,5,2,,,2
1,2001,0,2,,,2
2,1942,2,1,,,2
1,1966,1,2,358,741,2
2,1972,1,2,,,2
2,2001,0,2,,,2
1,2004,0,2,,,2
1,2005,0,2,,,2
1,1944,1,2,,,5
2,1947,1,2,,,5
1,1947,1,2,250,873,3
2,1953,1,2,180,952,3
2,1984,5,2,180,314,3
1,1961,1,2,230,721,2
2,1966,1,1,,,2
2,1993,5,2,,,2
1,1977,5,2,316,892,2
1,1938,1,1,,,2
2,1937,1,1,,,2
1,1989,5,2,,,2
1,1974,1,1,417,751,2
2,1969,1,1,100,442,2
2,2005,0,1,,,2
1,1967,1,2,,151,2
2,1976,1,2,,721,2
1,2002,0,2,,,2
1,2005,0,2,,,2
1,1972,1,1,467,234,2
2,1978,1,1,,399,2
2,2006,0,1,,,2
1,2009,0,1,,,2
1,1961,1,1,330,762,2
2,1962,1,1,,254,2
1,2000,5,1,,,2
1,1970,1,1,500,510,2
2,1973,1,1,,,2
1,2002,0,1,,,2
1,2005,0,1,,,2
2,2012,0,1,,,2
1,1977,1,1,583,753,2
2,1980,1,1,,,2
1,2006,0,1,,,2
2,2011,0,1,,,2
1,1971,1,2,583,741,2
2,1975,1,1,256,313,2
2,1996,5,2,,,2
1,2000,5,2,,,2
2,1939,2,1,,,2
1,1978,5,2,266,930,2
1,1942,1,1,,,2
2,1949,1,1,,,2
1,2002,0,1,,,2
2,1975,3,1,57,999,2
1,1955,1,2,260,941,2
2,1964,1,2,,,2
2,1950,2,1,100,951,2
1,1974,1,2,350,799,2
2,1975,1,2,180,441,2
1,2001,0,2,,,2
2,1952,2,2,,,2
2,1967,3,1,,,2
2,1994,5,1,,,2
2,1944,2,2,27,429,2
1,1973,5,2,275,741,2
2,1957,4,1,,,2
2,1982,1,1,,,6
1,1976,1,1,618,237,6
2,2013,0,1,,,6
2,2015,0,1,,,6
1,1968,1,2,270,761,2
2,1964,1,2,180,953,2
2,1999,5,2,40,953,2
2,1960,3,2,,,2
2,1938,3,1,,,2
2,1937,2,1,,,2
2,1995,5,1,,,2
1,1967,3,1,,873,2
2,1977,4,2,,,2
1,2002,0,2,,,2
1,2003,0,2,,,2
1,2003,0,2,,,2
1,1944,1,2,,,2
2,1951,1,2,50,951,2
2,1937,2,1,,,5
1,1960,2,1,350,782,5
2,1965,5,2,,953,2
1,1939,1,2,,,2
1,1976,1,1,550,239,2
2,1977,1,1,,,2
2,2004,0,1,,,2
2,2006,0,1,,,2
1,2011,0,1,,,2
1,1981,1,1,683,274,2
2,1979,1,1,202,243,2
1,2003,0,1,,,2
2,1956,2,1,46,421,2
1,1946,2,2,,,2
1,1976,1,1,542,312,2
2,1979,1,1,150,510,2
1,2012,0,1,,,2
1,2014,0,1,,,2
2,1928,2,1,,,2
2,1943,2,2,,521,2
2,1958,2,1,,,2
1,1988,5,2,200,521,2
2,1950,2,1,,521,2
1,1935,1,2,,,2
2,1940,1,2,,,2
1,1998,5,2,,,2
1,1968,1,2,245,930,2
2,1968,1,2,241,243,2
1,1958,1,1,160,743,2
2,1961,1,1,60,421,2
1,1970,1,2,636,510,2
2,1979,1,2,94,253,2
1,2002,0,2,,,2
2,2005,0,2,,,2
2,1939,2,1,,,2
1,1945,1,1,,611,4
2,1945,1,1,,,4
1,1967,5,2,,930,7
2,1934,2,2,,,2
1,1944,1,2,,,2
2,1945,1,2,,,2
2,1959,3,1,98,941,2
2,1993,5,1,,,2
2,1955,3,2,,,2
1,1989,5,2,218,864,2
1,1932,2,2,,,2
2,1973,5,2,,,2
2,1939,3,1,,,2
1,1962,1,2,,,2
2,1962,1,2,292,399,2
2,1991,5,2,,,2
1,1993,5,2,,,2
2,2003,0,2,,,2
1,1976,5,2,170,152,2
1,1940,1,2,,,2
2,1948,1,2,,,2
1,1976,1,2,334,873,2
2,1975,1,1,60,246,2
1,2006,0,1,,,2
2,2008,0,1,,,2
1,1967,1,2,,873,2
2,1961,1,2,,,2
1,1974,3,2,250,159,2
2,1999,5,2,160,422,2
2,1977,3,2,165,314,1
2,1938,2,1,,,2
1,1961,1,1,,,2
2,1964,1,1,90,952,2
1,1999,5,1,,,2
1,2002,0,1,,,2
1,1954,1,1,,222,2
2,1963,1,1,168,247,2
1,1993,5,1,200,222,2
1,1976,1,1,,221,2
2,1980,1,1,,,2
1,2007,0,1,,,2
1,2010,0,1,,,2
2,1959,4,2,200,441,2
2,1991,5,2,180,243,2
2,1949,2,1,,,2
2,1978,1,2,161,314,2
1,1977,1,1,,,2
2,2008,0,2,,,2
1,1961,3,2,250,510,2
2,1940,2,2,,,2
2,1970,1,1,200,313,2
1,1968,1,1,250,873,2
1,1978,1,1,429,874,2
2,1980,1,1,,,2
2,2006,0,1,,,2
2,2011,0,1,,,2
1,2014,0,1,,,2
2,1947,1,2,,611,6
1,1949,1,2,,611,6
2,1948,2,2,27,952,2
1,1968,1,1,,521,2
2,1969,1,1,250,510,2
1,1994,5,1,100,442,2
2,1999,5,1,30,314,2
1,1930,4,2,,,2
2,1944,4,2,27,999,2
1,1975,1,2,400,751,2
2,1981,1,2,150,442,2
1,2005,0,2,,,2
1,2007,0,1,,,2
1,1972,1,2,,873,2
2,1975,1,2,231,313,2
2,2004,0,2,,,2
2,2006,0,2,,,2
2,1957,2,1,,,2
1,1985,5,1,425,432,2
1,1960,1,1,,941,2
2,1968,1,1,,941,2
2,1995,5,1,,,2
1,1965,1,1,655,252,2
2,1966,1,1,,,2
2,1996,5,1,,,2
2,1963,3,2,140,930,2
1,1987,5,2,,,2
2,1976,3,1,198,246,2
2,2002,0,1,,,2
1,2006,0,1,,,2
1,1953,1,2,130,431,2
2,1955,1,2,,,2
2,1953,2,1,,441,2
1,1957,1,1,,873,2
2,1963,1,1,,611,2
2,2002,0,1,,,2
1,1967,3,2,,,2
1,1999,5,2,,521,2
2,1947,2,1,,,2
1,1961,5,1,,,2
2,1943,2,1,,,2
1,1967,3,1,359,873,2
1,2006,0,1,,,2
2,1935,2,1,27,941,2
1,1960,1,2,,611,2
2,1963,1,2,,422,2
1,1991,5,2,,,2
2,1941,2,2,,,2
2,1952,2,2,,941,2
1,1974,1,1,,611,2
2,1976,1,2,,,2
1,2004,0,2,,,2
2,2007,0,2,,,2
2,1940,2,1,27,941,2
1,1955,1,1,,,2
2,1966,1,1,,,2
2,1985,1,2,190,314,2
1,1983,1,2,429,311,2
2,2011,0,2,,,2
2,2017,0,2,,,2
1,1964,5,2,,611,2
2,1938,2,2,,,2
2,1946,2,1,,,2
1,1940,1,2,,,2
2,1946,1,2,,,2
2,1972,3,1,190,151,2
2,1942,2,1,27,941,2
1,1933,1,1,,611,2
2,1939,1,1,,611,2
2,1933,2,1,27,941,2
1,1961,5,2,,,2
2,1934,2,2,,,2
1,1940,1,1,,611,2
2,1942,1,1,27,941,2
1,1946,1,2,,611,2
2,1953,1,2,,611,2
2,1942,2,1,27,941,2
1,1956,1,2,,,1
2,1956,1,2,27,312,1
1,1987,5,2,80,999,1
1,1990,5,2,,,1
1,1936,1,2,,,2
2,1938,1,2,,,2
1,1949,1,2,,,2
2,1946,1,2,,,2
1,1984,1,2,292,285,2
2,1980,1,2,125,953,2
1,1937,1,1,,611,2
2,1942,1,1,,611,2
1,1959,1,1,425,235,2
2,1965,1,1,,,2
1,1995,5,1,,,2
2,1948,2,1,,611,2
1,1938,1,2,,611,2
2,1935,1,2,,611,2
2,1928,2,1,,,2
2,1981,1,1,,,7
1,1982,1,1,188,330,7
2,2015,0,1,,,7
2,1985,1,2,112,930,7
1,1983,1,2,368,930,7
1,1953,1,1,,611,7
2,1960,1,1,,799,7
1,1953,5,2,280,231,7
2,1936,2,2,,,7
2,1927,2,1,,,7
2,1932,2,1,,,7
2,1973,5,1,,,7
1,1940,1,2,,,7
2,1939,1,2,,,7
1,1968,1,1,250,941,7
2,1969,1,1,,,7
1,1997,5,1,,941,7
2,2002,0,1,,,7
1,1946,1,1,,,7
2,1952,1,1,,,7
2,1949,2,1,,,7
2,1964,3,1,128,722,7
2,1996,5,1,100,259,7
2,1928,2,1,,,7
1,1979,1,2,,953,7
2,1983,1,2,,531,7
2,2004,0,2,,,7
1,2006,0,2,,,7
2,1942,2,2,,,7
1,1998,5,2,,,7
1,2001,0,2,,,7
1,1951,1,2,,,7
2,1954,1,1,,,7
1,1989,5,1,,,7
1,1952,1,1,,,7
2,1955,1,1,,,7
2,1932,2,1,,,7
2,2002,0,1,,,7
1,1943,1,2,,,7
2,1947,1,2,142,941,7
2,1942,2,2,,,7
1,1946,1,1,,,7
2,1951,1,1,,,7
1,1980,5,1,,442,7
2,1957,2,2,,,7
2,1939,2,1,27,991,7
1,1936,1,2,,,7
2,1940,1,2,27,941,7
1,1942,1,2,,910,7
2,1946,1,2,,,7
1,1971,1,2,,751,7
2,1976,1,2,,953,7
1,1999,5,2,,,7
1,2001,0,2,,,7
2,2003,0,2,,,7
2,1960,3,2,150,941,7
1,1991,5,2,150,313,7
2,1987,1,1,,,7
1,1982,1,1,,521,7
1,2018,0,1,,,7
2,1936,2,2,,,7
1,1960,3,2,,873,7
1,1943,4,2,,,7
1,1980,1,2,210,254,7
2,1980,1,2,158,392,7
2,2008,0,2,,,7
2,2015,0,2,,,7
2,1955,2,2,,,7
2,1981,1,2,257,399,5
1,1981,1,1,360,312,5
2,2016,0,2,,,5
2,1942,2,2,27,941,7
2,1956,2,1,,,7
2,1952,3,2,,,7
2,1938,2,2,,,7
1,1949,3,2,,,7
1,1999,5,2,,,7
1,1976,1,2,,730,7
1,2003,0,2,,,7
2,1978,1,2,,,7
1,2012,0,2,,,7
1,2014,0,2,,,7
2,1940,2,1,,,7
1,1959,1,1,,,7
2,1956,1,2,,,7
2,1946,2,1,,,7
1,1942,1,2,132,942,7
2,1946,1,2,,,7
2,1928,2,2,,,7
1,1954,5,2,,,7
1,1939,1,1,,,7
2,1944,1,1,,,7
1,1959,3,2,,,7
1,1990,5,2,218,442,7
1,1945,1,2,,,7
2,1949,2,1,,,7
1,1977,5,1,100,930,7
1,1978,5,1,140,930,7
1,1980,5,1,150,930,7
1,1974,1,1,220,231,7
2,1975,1,1,,,7
2,2007,0,1,,,7
1,1967,1,2,742,312,7
2,1969,1,1,175,244,7
2,1999,5,2,,,7
2,2002,0,2,,,7
1,1955,1,2,,922,7
2,1957,1,2,,247,7
2,1986,5,2,253,313,7
1,1972,1,2,,613,7
2,1970,1,2,,,7
2,1997,5,2,,,7
1,1998,5,2,,,7
2,1933,2,2,,,7
1,1967,5,2,223,854,7
1,1967,1,1,,910,7
2,1970,1,1,,,7
2,1997,5,1,,442,7
2,1999,5,1,,,7
1,2004,0,1,,,7
1,1975,1,1,493,231,7
2,1978,1,1,241,243,7
2,2009,0,1,,,7
1,1956,1,2,42,941,7
2,1958,1,2,127,941,7
2,1985,1,2,,,7
1,1986,1,2,237,441,7
1,2017,0,2,,,7
1,1941,1,1,,799,7
2,1952,1,1,,,7
2,1980,3,1,233,441,7
1,2004,0,1,,,7
1,2005,0,1,,,7
2,2008,0,1,,,7
1,1972,1,2,280,312,7
2,1971,1,2,,,7
2,2004,0,2,,,7
1,2006,0,2,,,7
1,1965,3,2,,873,7
1,1994,5,2,160,432,7
2,1967,3,2,200,531,7
2,1991,5,2,179,442,7
1,2001,0,2,,,7
1,1971,1,1,120,999,7
2,1976,1,1,,,7
2,2005,0,1,,,7
2,1948,2,1,29,999,7
1,1964,1,2,258,873,7
2,1973,1,2,,941,7
1,1994,5,2,,,7
1,2000,5,2,,,7
1,1964,1,2,182,862,7
2,1972,1,1,,,7
2,1997,5,1,,,7
1,1999,5,2,,,7
2,2001,0,2,,,7
1,1942,1,1,,,5
2,1945,1,1,,,5
1,1963,1,1,460,311,7
2,1964,1,1,200,521,7
1,1989,5,2,270,312,7
1,1991,5,2,,,7
1,1935,2,1,,,7
1,1962,1,2,693,854,7
2,1965,1,2,,,7
1,1992,5,2,268,252,7
1,1957,1,2,,151,7
2,1959,1,2,,,7
1,1990,5,2,,,7
1,1963,1,2,608,311,7
2,1967,1,2,,,7
1,1995,5,2,,,7
2,1998,5,2,,,7
1,1965,1,2,,,7
2,1969,1,2,,247,7
2,1999,5,2,,,7
2,2001,0,2,,,7
1,1944,1,2,,,7
2,1957,1,1,,,7
2,1948,2,2,,,7
2,1944,2,1,27,999,7
2,1974,1,1,178,247,7
1,1976,1,1,497,312,7
2,2011,0,1,,,7
2,1962,2,1,90,247,7
1,1992,5,1,,,7
1,1993,5,2,208,224,7
2,1983,1,2,,,7
1,1975,1,2,,442,7
2,2014,0,2,,,7
2,2018,0,2,,,7
1,1939,2,2,,,7
1,1968,5,2,225,761,7
1,1970,1,2,228,853,7
2,1983,1,2,165,853,7
1,2011,0,2,,,7
2,1940,2,1,27,941,7
1,1943,1,2,,423,7
2,1949,1,2,,951,7
1,1976,1,2,517,252,7
2,1982,1,2,408,311,7
2,2011,0,2,,,7
1,2013,0,2,,,7
2,1942,2,1,,,7
2,1937,2,1,,611,7
2,1922,2,2,,,7
1,1977,1,2,,521,5
2,1978,1,2,180,399,5
1,2006,0,2,,,5
2,2008,0,2,,,5
2,1957,3,1,,521,7
1,1987,5,2,204,245,7
1,1984,5,2,188,930,7
2,1942,2,2,,,7
1,1968,5,2,,,7
1,1974,5,2,,,7
1,1955,1,1,,,1
2,1958,1,1,105,941,1
2,1997,5,1,,,1
2,1922,2,1,,,1
1,1946,2,2,27,999,7
1,1957,1,2,230,799,7
2,1959,1,2,,,7
1,1982,5,2,251,313,7
1,1948,1,2,,910,7
2,1958,1,2,,,7
1,1980,5,2,,,7
2,1944,2,1,,,7
1,1952,1,1,,,7
2,1956,1,1,,952,7
1,1944,1,2,,,7
2,1953,1,1,,,7
1,1980,5,2,150,284,2
1,1942,1,2,150,873,7
2,1954,1,2,,,7
1,1962,1,2,,799,7
2,1967,1,2,,,7
2,1991,5,2,,,7
1,1994,5,2,170,942,7
1,1935,1,2,,,7
2,1941,1,1,,,7
1,1958,1,2,189,930,7
2,1960,1,1,,,7
1,1988,5,2,80,941,7
1,1991,5,2,167,521,7
1,1951,1,2,,,7
2,1950,1,2,,,7
1,1982,5,2,,432,7
1,1974,1,1,213,246,7
2,1974,1,1,500,243,7
2,2006,0,1,,,7
1,2008,0,1,,,7
2,1962,2,1,100,951,7
2,2000,5,1,,,7
1,1983,1,1,433,313,3
2,1983,1,1,,,3
1,2008,0,2,,,3
1,2016,0,2,,,3
1,1954,1,2,,873,7
2,1953,1,2,2,941,7
1,1979,1,2,241,799,7
2,1989,1,2,,,7
2,2016,0,2,,,7
1,2018,0,2,,,7
2,1955,2,2,,951,7
2,1981,1,2,,442,7
1,1976,1,2,,441,7
1,2016,0,2,,,7
1,2016,0,2,,,7
2,1981,1,2,231,245,7
1,1978,1,2,443,312,7
2,2016,0,2,,,7
2,1957,2,1,,611,7
2,1981,1,1,378,243,5
1,1978,1,1,750,235,5
1,2013,0,1,,,5
2,2015,0,1,,,5
1,1970,3,2,240,881,7
2,1999,5,2,,,7
1,1955,1,2,,783,7
2,1961,1,2,,783,7
1,1985,5,2,313,855,7
1,1951,1,2,,,7
2,1956,1,2,298,441,7
2,1982,5,2,,,7
1,1979,1,2,350,762,7
2,1979,1,2,,,7
2,2009,0,2,,,7
1,2011,0,2,,,7
1,1977,1,2,375,312,7
2,1983,1,2,,,7
1,2010,0,2,,,7
1,2012,0,2,,,7
2,1947,2,1,87,951,7
1,1952,1,2,,910,7
2,1956,1,2,,951,7
2,1981,5,2,205,521,7
1,1966,1,2,,922,7
2,1972,1,2,120,442,7
1,1998,5,2,,442,7
2,2001,0,2,,,7
1,2006,0,2,,,7
1,1942,1,2,,,7
2,1948,1,2,,,7
1,1962,1,2,,,7
2,1964,1,1,80,999,7
1,1990,5,2,200,312,7
1,1994,5,1,200,921,7
1,2007,0,1,,,7
1,1952,3,2,,,7
2,1980,5,2,196,521,7
1,1981,5,2,166,399,7
1,1955,1,2,,722,7
2,1967,1,2,,722,7
1,1981,5,2,250,899,7
1,1993,5,2,217,930,7
1,1979,1,2,,761,7
2,1979,1,1,233,246,7
2,2005,0,1,,,7
2,2007,0,1,,,7
1,2010,0,1,,,7
2,1959,2,1,143,421,7
2,1988,5,1,172,399,7
2,1998,5,1,,442,7
2,1982,1,1,251,399,7
1,1980,1,1,,,7
2,2013,0,1,,,7
2,1935,2,2,,,7
1,1956,1,1,,432,7
1,1987,5,1,273,930,7
1,1987,5,1,291,312,7
2,1962,1,1,200,442,7
2,1956,3,1,,,7
1,1984,5,1,,248,7
2,1980,1,2,,,2
1,1980,1,2,483,235,2
2,2014,0,2,,,2
1,2017,0,2,,,2
1,1966,5,1,,,7
2,1932,2,1,,,7
2,1939,3,1,,,7
1,1952,3,2,,,7
1,1978,5,2,,783,7
2,1951,2,1,,,7
2,1961,2,1,,,7
1,1987,5,1,,,7
2,1948,2,1,,951,7
2,1967,3,2,,,7
2,1992,5,2,150,313,7
1,1944,2,1,,,7
1,1975,5,1,133,953,7
2,1953,3,1,,,7
2,1964,2,2,,,7
1,1990,5,2,,,7
2,1994,5,2,167,313,7
1,1950,1,1,,,5
2,1952,1,1,,,5
2,1960,3,1,210,899,7
2,1988,1,1,458,313,2
1,1987,1,1,300,399,2
2,1988,1,1,467,273,1
1,1988,1,1,200,730,1
1,1961,1,2,,910,7
2,1966,1,2,,,7
1,1990,5,2,192,311,7
2,1995,1,2,,,7
1,1994,1,2,210,941,7
2,1931,2,1,,,7
1,1952,1,2,,,7
2,1961,1,1,,,7
2,1987,5,1,,,7
2,1933,2,1,,,7
1,1970,1,2,458,311,7
2,1971,1,2,,,7
1,2005,0,2,,,7
1,2007,0,2,,,7
1,1967,1,2,,,7
2,1969,1,2,,442,7
1,1953,1,2,180,510,7
2,1960,1,2,,132,7
1,1986,5,1,,159,7
1,1962,1,1,,873,7
2,1967,1,1,,521,7
2,1993,5,1,,,7
1,1995,5,1,,,7
1,1955,1,2,608,132,7
2,1956,1,2,,611,7
2,1934,2,2,,,7
2,1981,1,2,483,272,7
1,1979,1,2,458,311,7
2,2011,0,2,,,7
1,2015,0,2,,,7
2,1984,1,2,150,521,7
1,1978,1,2,,782,7
1,2007,0,2,,,7
1,2009,0,2,,,7
1,1942,1,2,,,7
2,1947,1,1,,,7
2,1975,3,2,204,421,7
2,1973,3,2,250,254,7
1,1997,5,2,,,7
2,2000,5,2,,,7
1,1976,1,2,321,841,7
2,1979,1,2,375,247,7
2,2007,0,2,,,7
2,2011,0,2,,,7
2,2011,0,2,,,7
1,2015,0,2,,,7
1,1963,1,2,673,854,7
2,1964,1,1,,,7
2,1991,5,2,,,7
2,1993,5,2,,,7
1,1974,1,2,273,864,7
2,1977,1,2,264,247,7
2,2003,0,2,,,7
2,2006,0,2,,,7
2,1953,2,1,,,7
1,1971,1,2,559,852,7
2,1977,1,2,,,7
2,2000,5,2,,,7
2,2004,0,2,,,7
1,2008,0,2,,,7
2,1941,2,1,,,7
1,1969,5,2,,,7
1,1962,1,1,35,248,5
2,1966,1,1,29,248,5
1,1998,5,1,54,314,5
2,1942,2,1,,,2
1,1974,5,2,,273,2
1,1954,1,2,149,941,5
2,1954,1,2,,,5
1,1958,1,2,,,7
2,1961,1,2,209,930,7
2,1949,2,2,40,951,7
1,1973,3,2,,854,7
1,2008,0,2,,,7
1,1975,1,2,296,151,7
2,1980,1,2,,,7
1,2007,0,2,,,7
1,2011,0,2,,,7
2,1944,2,1,,,7
1,1980,5,2,300,320,7
2,1935,2,1,,,7
1,1954,1,2,,611,7
2,1960,1,2,,247,7
2,1986,5,2,110,281,1
2,1988,1,2,,,1
1,1982,1,2,508,234,1
1,2015,0,2,,,1
1,1971,3,2,,910,7
1,1999,5,2,,,7
2,1939,2,1,27,941,7
1,1974,1,2,748,312,7
2,1975,1,2,350,259,7
2,2004,0,2,,,7
2,1934,2,2,,,7
1,1969,1,2,480,751,7
2,1972,1,1,,,7
2,2002,0,1,,,7
2,2004,0,1,,,7
1,1956,1,2,188,246,7
2,1957,1,2,,313,7
1,1963,1,2,515,141,7
2,1970,1,2,,,7
2,1992,5,2,188,313,7
1,1994,5,2,,,7
1,1961,1,2,,772,7
2,1966,1,2,,,7
1,1990,5,2,,,7
2,1998,5,2,,,7
1,1969,1,2,500,411,7
2,1971,1,2,208,246,7
2,1998,5,2,,,7
1,2000,5,2,,,7
1,1939,1,1,,,7
2,1936,1,2,,,7
1,1972,1,2,569,312,7
2,1974,1,2,83,247,7
1,2003,0,2,,,7
1,2005,0,2,,,7
2,1954,2,2,,,7
1,1999,5,2,139,930,7
1,1937,1,2,,,7
2,1943,1,2,,,7
1,1981,1,2,316,930,7
2,1981,1,2,200,864,7
2,2007,0,2,,,7
